ID,Catched_time,Instrument,Sent_channel,Tendency,Leverage,Margin_type,Entrance_point,Stop_loss,Take_profit
1732065792,2023-12-27 10:25,COMBO/USDT,MONITOR bot chenel,⏫Лонг,х5 - х55,Cross," 0,900"," 0,817",+30% +60% +100%
1732065792,2023-12-27 10:53,RUNE/USDT,MONITOR bot chenel,⏫LONG,515x,Cross, (5.65-5.55)  5.32, 5.04, Рынок (5.65-5.55)  5.75  Лимитный ордер 5.32  5.5  6.51  7.1
1732065792,2023-12-28 13:16,ETH/USDT,MONITOR bot chenel,⏫LONG,2040x,Cross, 2230  2160, 2110,  Лимитный ордер 2230  2250  Лимитный ордер 2160  2314  2405  2700
1732065792,2023-12-29 13:04,ATOM/USDT,MONITOR bot chenel,⏫LONG,1020x,Cross,ами:  11.05  10.9, 10.39, Лимитный ордер 11.05  11.32  Лимитный ордер 10.9  11.9  13.44  14.4
1732065792,2024-01-01 11:26,ENJ/USDT,MONITOR bot chenel,⏫LONG,х5 - х55,Cross,"oм: 0,3735"," 0,3505"," 0,3780  0,4000  0,4200"
1732065792,2024-01-02 08:55,STEEM/USDT,MONITOR bot chenel,⏫LONG,х5 - х55,Cross,"oм: 0,2676"," 0,2510  (-60 % на 10 плече)"," 0,2740  0,2960  0,3150"
1732065792,2024-01-02 14:57,XRP/USDT,MONITOR bot chenel,⏫LONG,1025x,Cross,ами:  0.615  0.6015, 0.571,  Лимитный ордер 0.615  0.634  Лимитный ордер 0.6015  0.658  0.703  0.756
1732065792,2024-01-05 13:38,GRT/USDT,MONITOR bot chenel,⏬Шорт,х5 - х55,Cross,"ом 0,1905"," 0,1950 (- 38 % на 15 плече)",+30% +60% +100%
1732065792,2024-01-05 15:32,BNB/USDT,MONITOR bot chenel,⏫LONG,х5 - х55,Cross,ами:, 253.5, Лимит 287  297.9  Лимит 276  317.5  337.8  351.6  399.92
1732065792,2024-01-06 12:11,ARB/USDT,MONITOR bot chenel,⏬Шорт,х5 - х55,Cross," 1.785 + Лимитный ордер 1,84 (Разбить вашу обычную сумму входа на две равные части!)  1,84 (Разбить вашу обычную сумму входа на две равные части!)"," 1,94",+30% +60% +100%
1732065792,2024-01-06 16:13,ATOM/USDT,MONITOR bot chenel,⏫LONG,х5 - х55,Cross, 9.77, 9.299, По рынку (9.99-9.87)  10.16  Лимитный ордер 9.77  10.7  11.1
